INT	STRING
ID	ANUFILE
2000	Actini/Building/b_lowhouse.ini
2001	Actini/Building/b_midhouse.ini
2002	Actini/Building/b_highhouse.ini
2003	Actini/Building/b_farm.ini
2004	Actini/Building/b_toolfac.ini
2005	Actini/Building/b_drinkfac.ini
2006	Actini/Building/b_lowware.ini
2007	Actini/Building/b_highware.ini
2008	Actini/Building/b_hospital.ini
2009	Actini/Building/b_camp.ini
2010	Actini/Building/b_carfac.ini
2011	Actini/Building/b_supstation.ini
2012	Actini/Building/b_lowstonefac.ini
2013	Actini/Building/b_highstonefac.ini
2014	Actini/Building/b_lowwoodfac.ini
2015	Actini/Building/b_highwoodfac.ini
2016	Actini/Building/b_lowironfac.ini
2017	Actini/Building/b_highironfac.ini
2018	Actini/Building/b_lowoilfac.ini
2019	Actini/Building/b_highoilfac.ini
3000	Actini/Building/b_mapexpans.ini
3002	Actini/Building/b_create3.ini
3003	Actini/Building/b_create4.ini
4000	Actini/Building/cp_entry.ini
