INT	INT	INT	INT
ID	STATE_FILE	HEAD_WIDTH	HEAD_HEIGHT
0	134	61	72
1	135	61	72
2	0	61	72
3	1	61	72
4	84	61	72
5	2	61	72
6	3	61	72
7	105	61	72
8	106	61	72
9	107	61	72
10	108	61	72
11	109	61	72
12	110	61	72
13	111	61	72
14	112	61	72
15	113	61	72
16	114	61	72
17	100	61	72
18	101	61	72
19	102	61	72
20	103	61	72
21	104	61	72
22	67	61	72
23	68	61	72
24	69	61	72
25	70	61	72
26	71	61	72
27	72	61	72
28	73	61	72
29	74	61	72
30	75	61	72
31	76	61	72
32	77	61	72
33	78	61	72
34	79	61	72
35	80	61	72
36	81	61	72
37	82	61	72
38	83	61	72
39	193	61	72
40	194	61	72
41	195	61	72
42	196	61	72
43	197	61	72
44	198	61	72
45	199	61	72
46	200	61	72
47	201	61	72
48	202	61	72
49	203	61	72
50	204	61	72
