INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	建筑类型	建筑名	建筑说明	剪彩文本	建筑等级	可建造等级	建造所需时间（毫秒）	建造所需金币	建造平台币	是否可生产(0不可1可)	生产ID(对应生产建筑表)	生产类型	图标ID	工作人口
0	0	#{NAME_2000_001}	#{JZCD_2000_001}	#{TIP_1000_001}	1	1	3000	300	0	0	0	-1	34	0
1	0	#{NAME_2000_002}	#{JZCD_2000_002}	#{TIP_1000_002}	1	3	10000	10000	0	0	1	-1	35	0
2	0	#{NAME_2000_003}	#{JZCD_2000_003}	#{TIP_1000_003}	1	6	18000000	50000	0	0	2	-1	36	0
3	3	#{NAME_2000_004}	#{JZCD_2000_004}	#{TIP_1000_004}	1	2	3000	200	0	1	-1	2	37	3
4	3	#{NAME_2000_005}	#{JZCD_2000_005}	#{TIP_1000_005}	1	10	18000000	1000	0	1	-1	1	38	4
5	3	#{NAME_2000_011}	#{JZCD_2000_011}	#{TIP_1000_006}	1	20	86400000	10000	0	1	-1	3	45	5
6	4	#{NAME_2000_006}	#{JZCD_2000_006}	#{TIP_1000_007}	1	5	3600000	10000	0	0	0	-1	39	3
7	4	#{NAME_2000_007}	#{JZCD_2000_007}	#{TIP_1000_008}	1	5	43200000	100000	0	0	0	-1	41	3
8	1	#{NAME_2000_009}	#{JZCD_2000_009}	#{TIP_1000_009}	1	3	3000	5000	0	1	0	1	43	7
9	1	#{NAME_2000_010}	#{JZCD_2000_010}	#{TIP_1000_010}	1	10	43200000	100000	0	1	0	-1	44	10
10	2	#{NAME_2000_012}	#{JZCD_2000_012}	#{TIP_1000_011}	1	2	6000	10000	0	1	0	-1	46	2
11	2	#{NAME_2000_018}	#{JZCD_2000_018}	#{TIP_1000_013}	1	20	172800000	500000	0	1	2	17	51	4
12	2	#{NAME_2000_017}	#{JZCD_2000_017}	#{TIP_1000_012}	1	3	86400000	100000	0	1	1	17	52	4
13	2	#{NAME_2000_020}	#{JZCD_2000_020}	#{TIP_1000_015}	1	25	86400000	900000	0	1	4	18	53	5
14	2	#{NAME_2000_019}	#{JZCD_2000_019}	#{TIP_1000_014}	1	3	86400000	100000	0	1	3	18	54	5
