INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING
ID	军事单位	图标ID	生产类型	训练时间	等级	花费金币	花费铁	花费石油	花费平台币	兵种描述
0	#{NAME_4000_001}	67	0	5000	1	500	0	0	0	#{UI_2000_012}
1	#{NAME_4000_002}	68	0	10000	13	1000	0	0	0	#{UI_2000_013}
2	#{NAME_4000_003}	69	0	30000	2	1500	0	0	0	#{UI_2000_014}
3	#{NAME_4000_004}	70	0	30000	3	2000	0	0	0	#{UI_2000_015}
4	#{NAME_4000_005}	71	0	10000	4	3000	0	0	1	#{UI_2000_016}
5	#{NAME_4000_006}	72	0	60000	5	4000	0	0	0	#{UI_2000_017}
6	#{NAME_4000_007}	73	0	60000	14	5000	50	50	1	#{UI_2000_018}
7	#{NAME_4000_008}	74	0	60000	6	6000	100	50	0	#{UI_2000_019}
8	#{NAME_4000_009}	75	0	60000	15	7000	150	100	0	#{UI_2000_020}
9	#{NAME_4000_010}	76	0	60000	16	7500	200	150	1	#{UI_2000_021}
10	#{NAME_4000_011}	77	0	60000	7	8000	300	200	1	#{UI_2000_022}
11	#{NAME_4000_012}	78	0	300000	8	8500	0	0	3	#{UI_2000_023}
12	#{NAME_4000_013}	79	0	300000	17	9000	500	300	0	#{UI_2000_024}
13	#{NAME_4000_014}	80	0	300000	18	9500	0	0	3	#{UI_2000_025}
14	#{NAME_4000_015}	81	0	300000	9	10000	700	500	0	#{UI_2000_026}
15	#{NAME_4000_016}	82	0	600000	19	20000	0	0	0	#{UI_2000_027}
16	#{NAME_4000_017}	83	0	600000	10	12000	0	0	5	#{UI_2000_028}
17	#{NAME_4000_018}	193	0	3600000	20	13000	700	700	0	#{UI_2000_029}
18	#{NAME_4000_020}	194	0	3600000	11	14000	1000	1000	0	#{UI_2000_030}
19	#{NAME_4000_021}	195	0	3600000	12	15000	0	0	5	#{UI_2000_031}
20	#{NAME_4000_022}	196	1	300000	15	20000	1500	1500	0	#{UI_2000_032}
21	#{NAME_4000_023}	197	1	30000	17	30000	0	0	5	#{UI_2000_033}
22	#{NAME_4000_024}	198	1	1800000	19	40000	2000	2000	0	#{UI_2000_034}
23	#{NAME_4000_025}	199	1	30000	20	50000	0	0	5	#{UI_2000_035}
24	#{NAME_4000_026}	200	1	3600000	22	60000	3000	3000	0	#{UI_2000_036}
25	#{NAME_4000_027}	201	1	3600000	24	70000	5000	5000	0	#{UI_2000_037}
26	#{NAME_4000_028}	202	1	60000	26	80000	0	0	10	#{UI_2000_038}
27	#{NAME_4000_029}	203	1	120000	28	90000	0	0	20	#{UI_2000_039}
28	#{NAME_4000_030}	204	1	180000	30	100000	0	0	30	#{UI_2000_040}
