INT	STRING	STRING	STRING	STRING	STRING
士兵ID	描述	模型名字A	模型名称B	模型配置A	动作名称
0	步兵	Data/t_bb_b.json	Data/t_bb_f.json	Data/t_bb.txt	b_bubing.txt
1	机动兵	Data/t_jdb_b.json	Data/t_jdb_f.json	Data/t_jdb.txt	b_bubing.txt
2	持雷下士	Data/t_clxs_b.json	Data/t_clxs_f.json	Data/t_clxs.txt	b_bubing.txt
3	特种兵	Data/t_tzb_b.json	Data/t_tzb_f.json	Data/t_tzb.txt	b_bubing.txt
4	防爆下士	Data/t_fbxs_b.json	Data/t_fbxs_f.json	Data/t_fbxs.txt	b_bubing.txt
5	狙击	Data/t_jjs_b.json	Data/t_jjs_f.json	Data/t_jjs.txt	b_bubing.txt
6	纵火者	Data/t_zhz_b.json	Data/t_zhz_f.json	Data/t_zhz.txt	b_bubing.txt
7	持雷中士	Data/t_clzs_b.json	Data/t_clzs_f.json	Data/t_clzs.txt	b_bubing.txt
8	重机枪兵	Data/t_zjqb_b.json	Data/t_zjqb_f.json	Data/t_zjqb.txt	b_bubing.txt
9	特种中士	Data/t_tzzs_b.json	Data/t_tzzs_f.json	Data/t_tzzs.txt	b_bubing.txt
10	机械狙击	Data/t_jxjj_b.json	Data/t_jxjj_f.json	Data/t_jxjj.txt	b_bubing.txt
11	突进兵	Data/t_tjb_b.json	Data/t_tjb_f.json	Data/t_tjb.txt	b_bubing.txt
12	纵火狂	Data/t_zhk_b.json	Data/t_zhk_f.json	Data/t_zhk.txt	b_bubing.txt
13	机动联队	Data/t_jdld_b.json	Data/t_jdld_f.json	Data/t_jdld.txt	b_bubing.txt
14	狙击队长	Data/t_jjdz_b.json	Data/t_jjdz_f.json	Data/t_jjdz.txt	b_bubing.txt
15	红衫军	Data/t_hsj_b.json	Data/t_hsj_f.json	Data/t_hsj.txt	b_bubing.txt
16	黑索部队	Data/t_hsbd_b.json	Data/t_hsbd_f.json	Data/t_hsbd.txt	b_bubing.txt
17	鹰隼	Data/t_ys_b.json	Data/t_ys_f.json	Data/t_ys.txt	b_bubing.txt
18	突进纵队	Data/t_tjzd_b.json	Data/t_tjzd_f.json	Data/t_tjzd.txt	b_bubing.txt
19	火山部队	Data/t_hsbd2_b.json	Data/t_hsbd2_f.json	Data/t_hsbd2.txt	b_bubing.txt
20	轻型坦克	Data/t_qxtk_b.json	Data/t_qxtk_f.json	Data/t_qxtk.txt	b_bubing.txt
21	反坦克炮	Data/t_ftkp_b.json	Data/t_ftkp_f.json	Data/t_ftkp.txt	b_bubing.txt
22	步兵车	Data/t_bbc_b.json	Data/t_bbc_f.json	Data/t_bbc.txt	b_bubing.txt
23	反坦克下士	Data/t_ftkxs_b.json	Data/t_ftkxs_f.json	Data/t_ftkxs.txt	b_bubing.txt
24	轻甲坦克	Data/t_qjtk_b.json	Data/t_qjtk_f.json	Data/t_qjtk.txt	b_bubing.txt
25	连发步兵车	Data/t_lfbbc_b.json	Data/t_lfbbc_f.json	Data/t_lfbbc.txt	b_bubing.txt
26	震地者	Data/t_zdz_b.json	Data/t_zdz_f.json	Data/t_zdz.txt	b_bubing.txt
27	悍甲坦克	Data/t_hjtk_b.json	Data/t_hjtk_f.json	Data/t_hjtk.txt	b_bubing.txt
28	突击战车	Data/t_tjzc_b.json	Data/t_tjzc_f.json	Data/t_tjzc.txt	b_bubing.txt
29	铁壁步兵	Data/t_fbxs_b.json	Data/t_fbxs_f.json	Data/t_fbxs.txt	b_bubing.txt
30	虫子第一代	Data/jkd_b.json	Data/jkd_f.json	Data/jkd.txt	b_bubing.txt
31	史莱姆虫	Data/slmcc_b.json	Data/slmcc_f.json	Data/slmcc.txt	b_bubing.txt
32	特种兵怪	Data/t_tzb_b.json	Data/t_tzb_f.json	Data/t_tzb.txt	b_bubing.txt
33	防爆下士怪	Data/t_fbxs_b.json	Data/t_fbxs_f.json	Data/t_fbxs.txt	b_bubing.txt
34	狙击怪	Data/t_jjs_b.json	Data/t_jjs_f.json	Data/t_jjs.txt	b_bubing.txt
35	纵火者怪	Data/t_zhz_b.json	Data/t_zhz_f.json	Data/t_zhz.txt	b_bubing.txt
36	持雷中士怪	Data/t_clzs_b.json	Data/t_clzs_f.json	Data/t_clzs.txt	b_bubing.txt
37	重机枪兵怪	Data/t_zjqb_b.json	Data/t_zjqb_f.json	Data/t_zjqb.txt	b_bubing.txt
38	特种中士怪	Data/t_tzzs_b.json	Data/t_tzzs_f.json	Data/t_tzzs.txt	b_bubing.txt
39	机械狙击怪	Data/t_jxjj_b.json	Data/t_jxjj_f.json	Data/t_jxjj.txt	b_bubing.txt
40	突进兵怪	Data/t_tjb_b.json	Data/t_tjb_f.json	Data/t_tjb.txt	b_bubing.txt
41	纵火狂怪	Data/t_zhk_b.json	Data/t_zhk_f.json	Data/t_zhk.txt	b_bubing.txt
