INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
技能ID	技能名称	技能描述	神圣攻击力加成	攻击力加成	防御力加成	血量加成	命中加成	闪避加成	暴击率加成	暴击倍数加成	子弹ID	子弹发出绑定点	效果ID	技能图标ID
0	#{NAME_5000_001}	#{SKILL_1000_001}	0	5	0	0	0	0	0	0	9	shoot	19	161
1	#{NAME_5000_002}	#{SKILL_1000_002}	0	0	5	0	0	0	0	0	0	shoot	19	168
2	#{NAME_5000_003}	#{SKILL_1000_003}	0	5	0	0	0	0	0	0	2	shoot	18	163
3	#{NAME_5000_004}	#{SKILL_1000_004}	0	3	0	0	0	0	0	0	2	shoot	18	162
4	#{NAME_5000_005}	#{SKILL_1000_005}	0	0	3	3	0	0	0	0	2	shoot	18	162
5	#{NAME_5000_006}	#{SKILL_1000_006}	0	3	0	0	0	0	5	0	2	shoot	18	167
6	#{NAME_5000_007}	#{SKILL_1000_007}	0	0	0	0	0	0	0	0	12	shoot	18	173
7	#{NAME_5000_008}	#{SKILL_1000_008}	0	7	0	0	0	0	0	0	2	shoot	18	163
8	#{NAME_5000_009}	#{SKILL_1000_009}	0	0	0	0	0	0	0	0	2	shoot	18	166
9	#{NAME_5000_010}	#{SKILL_1000_010}	0	0	0	0	0	0	0	0	2	shoot	18	162
10	#{NAME_5000_011}	#{SKILL_1000_011}	0	10	0	0	0	0	10	0	2	shoot	18	167
11	#{NAME_5000_012}	#{SKILL_1000_012}	0	0	7	7	0	0	0	0	0	shoot	19	164
12	#{NAME_5000_013}	#{SKILL_1000_013}	0	10	0	0	0	0	0	0	12	shoot	18	173
13	#{NAME_5000_014}	#{SKILL_1000_014}	0	10	0	0	0	0	0	0	1	shoot	19	168
14	#{NAME_5000_015}	#{SKILL_1000_015}	0	10	0	0	0	0	0	0	3	shoot	18	167
15	#{NAME_5000_016}	#{SKILL_1000_016}	0	10	0	0	0	0	0	0	1	shoot	19	173
16	#{NAME_5000_017}	#{SKILL_1000_017}	0	10	0	0	0	0	0	0	3	shoot	18	163
17	#{NAME_5000_018}	#{SKILL_1000_018}	0	10	0	0	0	0	10	0	3	shoot	18	167
18	#{NAME_5000_019}	#{SKILL_1000_019}	0	0	10	0	0	0	0	0	1	shoot	19	164
19	#{NAME_5000_020}	#{SKILL_1000_020}	0	0	0	10	0	 	0	0	13	shoot	19	173
20	#{NAME_5000_021}	#{SKILL_1000_021}	0	0	0	0	0	0	0	0	4	shoot	18	171
21	#{NAME_5000_022}	#{SKILL_1000_022}	0	0	10	0	0	0	0	0	4	shoot	18	170
22	#{NAME_5000_023}	#{SKILL_1000_023}	0	7	7	0	0	0	0	0	2	shoot	18	174
23	#{NAME_5000_024}	#{SKILL_1000_024}	0	7	0	7	0	0	0	0	4	shoot	18	169
24	#{NAME_5000_025}	#{SKILL_1000_025}	0	0	12	0	0	0	0	0	4	shoot	18	174
25	#{NAME_5000_026}	#{SKILL_1000_026}	0	12	0	0	0	0	0	0	2	shoot	18	172
26	#{NAME_5000_027}	#{SKILL_1000_027}	0	15	0	0	0	0	15	0	4	shoot	18	169
27	#{NAME_5000_028}	#{SKILL_1000_028}	0	15	15	15	0	0	0	0	6	shoot	19	171
28	#{NAME_5000_029}	#{SKILL_1000_029}	0	15	15	15	0	0	0	0	6	shoot	19	171
29	#{NAME_5000_008}	#{SKILL_1000_030}	0	20	0	0	0	0	0	0	0	shoot	19	174
30	#{NAME_5000_008}	#{SKILL_1000_031}	0	20	0	0	0	0	0	0	0	shoot	19	169
31	#{NAME_5000_008}	#{SKILL_1000_032}	0	20	0	0	0	0	0	0	2	shoot	18	170
