INT	STRING	STRING	STRING	STRING
ID	描述	效果文件	特效绑定点	击中音效
0	收金币效果	Effect/building/results_gold_less.plist	hitpoint	-1
1	收金币效果	Effect/building/results_gold_normal.plist	hitpoint	-1
2	收金币效果	Effect/building/results_gold_more.plist	hitpoint	-1
3	收金币效果	Effect/building/results_goldexp_less.plist	hitpoint	-1
4	收金币石油铁效果	Effect/building/results_gold_oil_iron_more.plist	hitpoint	-1
5	收金币效果	Effect/building/results_goldexp_more.plist	hitpoint	-1
6	收金币效果	Effect/building/results_supstation.plist	hitpoint	-1
7	收金币效果	Effect/building/results_soldier.plist	hitpoint	-1
8	收金币效果	Effect/building/results_tank.plist	hitpoint	-1
9	收金币效果	Effect/building/resulting_gold.plist	hitpoint	-1
10	收金币效果	Effect/building/resulting_goldexp.plist	hitpoint	-1
11	收金币效果	Effect/building/resulting_carrot.plist	hitpoint	-1
12	收金币效果	Effect/building/resulting_screw.plist	hitpoint	-1
13	收金币效果	Effect/building/resulting_coke.plist	hitpoint	-1
14	收金币效果	Effect/building/resulting_soldierup.plist	hitpoint	-1
15	收金币效果	Effect/building/resulting_tankup.plist	hitpoint	-1
16	收金币效果	Effect/building/special_iron.plist	hitpoint	-1
17	收金币效果	Effect/building/special_oil.plist	hitpoint	-1
18	被打效果黄色	Effect/role/hiteffect_blast.plist	hitpoint	-1
19	被打效果蓝色	Effect/role/hiteffect_power.plist	hitpoint	-1
20	加血效果	Effect/role/addblood_blast.plist	hitpoint	-1
21	剪彩效果	Effect/building/cutribbon_effect.plist	hitpoint	-1
