INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT
物品ID	物品类型(礼包类)	档次(预留)	物品类别	物品索引	物品名称	物品描述	图标ID	金币	铁	石油	能量合剂	战车	士兵	脚本ID
10101000	1	1	1	0	#{SHOP_1000_001}	#{SHOP_2000_009}	414	500	0	0	20	0	0	0
10101001	1	1	1	1	#{SHOP_1000_002}	#{SHOP_2000_010}	415	1000	0	0	5	0	0	0
10101002	1	1	1	2	#{SHOP_1000_003}	#{SHOP_2000_011}	416	2000	0	0	5	0	0	0
10101003	1	1	1	3	#{SHOP_1000_004}	#{SHOP_2000_012}	417	5000	3000	0	0	0	0	0
10101004	1	1	1	4	#{SHOP_1000_005}	#{SHOP_2000_013}	418	5000	0	3000	0	0	0	0
10101005	1	1	1	5	#{SHOP_1000_006}	#{SHOP_2000_014}	419	3000	3000	3000	30	0	0	0
10101006	1	1	1	6	#{SHOP_1000_007}	#{SHOP_2000_015}	420	5000	5000	5000	50	0	0	0
10101007	1	1	1	7	#{SHOP_1000_008}	#{SHOP_2000_016}	421	5000	200	200	0	0	0	0
10101008	1	1	1	8	#{SHOP_1000_009}	#{SHOP_2000_017}	422	1000	600	600	5	0	0	0
10101009	1	1	1	9	#{SHOP_1000_010}	#{SHOP_2000_018}	423	2000	1000	1000	10	0	0	0
10101010	1	1	1	10	#{SHOP_1000_011}	#{SHOP_2000_019}	424	0	2000	2000	10	0	0	0
10101011	1	1	1	11	#{SHOP_1000_012}	#{SHOP_2000_020}	425	0	5000	5000	30	0	0	0
10101012	1	1	1	12	#{SHOP_1000_013}	#{SHOP_2000_021}	426	0	1000	1000	20	0	0	0
10102000	1	1	2	0	#{SHOP_2000_035}	#{SHOP_2000_036}	205	0	300	0	5	0	205	0
10102001	1	1	2	1	#{SHOP_2000_037}	#{SHOP_2000_038}	206	0	300	0	5	0	206	0
10102002	1	1	2	2	#{SHOP_2000_039}	#{SHOP_2000_040}	195	0	300	0	5	0	195	0
10103000	1	1	3	0	#{SHOP_2000_045}	#{SHOP_2000_046}	207	0	0	0	5	207	0	0
10103001	1	1	3	1	#{SHOP_2000_047}	#{SHOP_2000_048}	337	0	0	0	5	337	0	0
10103002	1	1	3	2	#{SHOP_2000_049}	#{SHOP_2000_050}	202	0	0	0	5	202	0	0
10104000	1	1	4	0	#{SHOP_2000_055}	#{SHOP_2000_056}	110	0	0	0	30	0	0	0
10104001	1	1	4	1	#{SHOP_2000_057}	#{SHOP_2000_058}	110	0	0	0	50	0	0	0
10104002	1	1	4	2	#{SHOP_2000_059}	#{SHOP_2000_060}	110	0	0	0	80	0	0	0
10104003	1	1	4	3	#{SHOP_2000_061}	#{SHOP_2000_062}	110	0	0	0	100	0	0	0
10104004	1	1	4	4	#{SHOP_2000_063}	#{SHOP_2000_064}	110	0	0	0	150	0	0	0
