INT	INT	INT	INT	INT	INT	STRING	STRING
物品ID	物品类型	品质	物品类别	物品索引	图标	物品名称	物品描述
40101000	4	1	1	0	205	#{SHOP_2000_035}	#{SHOP_2000_036}
40101001	4	1	1	1	206	#{SHOP_2000_037}	#{SHOP_2000_038}
40101002	4	1	1	2	195	#{SHOP_2000_039}	#{SHOP_2000_040}
40102000	4	1	2	0	207	#{SHOP_2000_045}	#{SHOP_2000_046}
40102001	4	1	2	1	337	#{SHOP_2000_047}	#{SHOP_2000_048}
40102002	4	1	2	2	202	#{SHOP_2000_049}	#{SHOP_2000_050}
50101000	5	1	1	0	110	#{SHOP_2000_055}	#{SHOP_2000_056}
50101001	5	1	1	1	110	#{SHOP_2000_057}	#{SHOP_2000_058}
50101002	5	1	1	2	110	#{SHOP_2000_059}	#{SHOP_2000_060}
50101003	5	1	1	3	110	#{SHOP_2000_061}	#{SHOP_2000_062}
50101004	5	1	1	4	110	#{SHOP_2000_063}	#{SHOP_2000_064}
