INT	STRING	STRING	INT	INT	INT	INT	STRING
索引	物品ID	物品名称	物品类型	功能字段	价格	softcode	keys
0	30000765967701	#{ITEM_2000_001}	1	26	5	200098	0647cfeeaa213c0a3c5066b0
1	30000765967702	#{ITEM_2000_002}	1	28	5	200098	0647cfeeaa213c0a3c5066b1
2	30000765967703	#{ITEM_2000_003}	1	25	8	200098	0647cfeeaa213c0a3c5066b2
3	30000765967704	#{ITEM_2000_004}	1	17	8	200098	0647cfeeaa213c0a3c5066b3
4	30000765967705	#{ITEM_2000_005}	1	19	10	200098	0647cfeeaa213c0a3c5066b4
5	30000765967706	#{ITEM_2000_006}	1	20	12	200098	0647cfeeaa213c0a3c5066b5
6	30000765967707	#{ITEM_2000_007}	1	22	14	200098	0647cfeeaa213c0a3c5066b6
7	30000765967708	#{ITEM_2000_008}	3	500	1	200098	0647cfeeaa213c0a3c5066b7
8	30000765967709	#{ITEM_2000_009}	4	500	1	200098	0647cfeeaa213c0a3c5066b8
9	30000765967710	#{ITEM_2000_010}	3	1000	2	200098	0647cfeeaa213c0a3c5066b9
10	30000765967711	#{ITEM_2000_011}	4	1000	2	200098	0647cfeeaa213c0a3c5066b10
11	30000765967712	#{ITEM_2000_012}	3	1500	3	200098	0647cfeeaa213c0a3c5066b11
12	30000765967713	#{ITEM_2000_013}	4	1500	3	200098	0647cfeeaa213c0a3c5066b12
13	30000765967714	#{ITEM_2000_014}	3	2000	4	200098	0647cfeeaa213c0a3c5066b13
14	30000765967715	#{ITEM_2000_015}	4	2000	4	200098	0647cfeeaa213c0a3c5066b14
15	30000765967716	#{ITEM_2000_016}	3	3000	6	200098	0647cfeeaa213c0a3c5066b15
16	30000765967717	#{ITEM_2000_017}	4	3000	6	200098	0647cfeeaa213c0a3c5066b16
17	30000765967718	#{ITEM_2000_018}	3	10000	20	200098	0647cfeeaa213c0a3c5066b17
18	30000765967719	#{ITEM_2000_019}	4	10000	20	200098	0647cfeeaa213c0a3c5066b18
19	30000765967720	#{ITEM_2000_020}	3	15000	30	200098	0647cfeeaa213c0a3c5066b19
20	30000765967721	#{ITEM_2000_021}	4	15000	30	200098	0647cfeeaa213c0a3c5066b20
21	30000765967722	#{ITEM_2000_022}	6	1	1	200098	0647cfeeaa213c0a3c5066b21
22	30000765967723	#{ITEM_2000_023}	6	5	1	200098	0647cfeeaa213c0a3c5066b22
23	30000765967724	#{ITEM_2000_024}	6	11	1	200098	0647cfeeaa213c0a3c5066b23
24	30000765967725	#{ITEM_2000_025}	6	55	5	200098	0647cfeeaa213c0a3c5066b24
25	30000765967726	#{ITEM_2000_026}	6	120	10	200098	0647cfeeaa213c0a3c5066b25
26	30000765967727	#{ITEM_2000_027}	6	180	15	200098	0647cfeeaa213c0a3c5066b26
27	30000765967728	#{ITEM_2000_028}	6	260	20	200098	0647cfeeaa213c0a3c5066b27
28	30000765967729	#{ITEM_2000_029}	6	350	25	200098	0647cfeeaa213c0a3c5066b28
29	30000765967730	#{ITEM_2000_030}	6	450	30	200098	0647cfeeaa213c0a3c5066b29
