INT	STRING	STRING	INT	INT	INT	INT	STRING
索引	物品ID	物品名称	物品类型	功能字段	价格	softcode	keys
0	30000765967701	#{ITEM_2000_001}	1	26	800	200098	0647cfeeaa213c0a3c5066b0
1	30000765967702	#{ITEM_2000_002}	1	28	800	200098	0647cfeeaa213c0a3c5066b1
2	30000765967703	#{ITEM_2000_003}	1	25	800	200098	0647cfeeaa213c0a3c5066b2
3	30000765967704	#{ITEM_2000_004}	1	17	1000	200098	0647cfeeaa213c0a3c5066b3
4	30000765967705	#{ITEM_2000_005}	1	19	500	200098	0647cfeeaa213c0a3c5066b4
5	30000765967706	#{ITEM_2000_006}	1	20	1000	200098	0647cfeeaa213c0a3c5066b5
6	30000765967707	#{ITEM_2000_007}	1	22	1000	200098	0647cfeeaa213c0a3c5066b6
7	30000765967708	#{ITEM_2000_019}	4	5000	500	200098	0647cfeeaa213c0a3c5066b7
8	30000765967709	#{ITEM_2000_018}	3	5000	500	200098	0647cfeeaa213c0a3c5066b8
9	30000765967710	#{ITEM_2000_020}	6	330	1500	200098	0647cfeeaa213c0a3c5066b9
10	30000765967711	#{ITEM_2000_008}	6	1	1	200098	0647cfeeaa213c0a3c5066b9
11	30000765967712	#{ITEM_2000_009}	6	10	10	200098	0647cfeeaa213c0a3c5066b9
12	30000765967713	#{ITEM_2000_010}	3	50	10	200098	0647cfeeaa213c0a3c5066b9
13	30000765967714	#{ITEM_2000_011}	3	300	50	200098	0647cfeeaa213c0a3c5066b9
14	30000765967715	#{ITEM_2000_012}	6	16	100	200098	0647cfeeaa213c0a3c5066b9
15	30000765967716	#{ITEM_2000_013}	6	30	200	200098	0647cfeeaa213c0a3c5066b9
16	30000765967717	#{ITEM_2000_014}	3	500	200	200098	0647cfeeaa213c0a3c5066b9
17	30000765967718	#{ITEM_2000_015}	4	500	200	200098	0647cfeeaa213c0a3c5066b9
18	30000765967719	#{ITEM_2000_016}	6	50	400	200098	0647cfeeaa213c0a3c5066b9
19	30000765967720	#{ITEM_2000_017}	3	800	400	200098	0647cfeeaa213c0a3c5066b9
20	30000765967721	#{ITEM_2000_021}	4	800	400	200098	0647cfeeaa213c0a3c5066b9
21	30000765967722	#{ITEM_2000_022}	3	1000	600	200098	0647cfeeaa213c0a3c5066b9
22	30000765967723	#{ITEM_2000_023}	4	1000	600	200098	0647cfeeaa213c0a3c5066b9
23	30000765967724	#{ITEM_2000_024}	6	150	1200	200098	0647cfeeaa213c0a3c5066b9
24	30000765967725	#{ITEM_2000_025}	6	200	1400	200098	0647cfeeaa213c0a3c5066b9
25	30000765967726	#{ITEM_2000_026}	3	15000	1400	200098	0647cfeeaa213c0a3c5066b9
26	30000765967727	#{ITEM_2000_027}	4	15000	1400	200098	0647cfeeaa213c0a3c5066b9
27	30000765967728	#{ITEM_2000_028}	6	400	1500	200098	0647cfeeaa213c0a3c5066b9
28	30000765967729	#{ITEM_2000_029}	6	600	2000	200098	0647cfeeaa213c0a3c5066b9
29	30000765967730	#{ITEM_2000_030}	6	900	2500	200098	0647cfeeaa213c0a3c5066b9
