INT	INT	STRING	INT	INT	INT	INT	STRING
索引	物品ID	物品名称	物品类型	功能字段	价格	softcode	keys
0	102032001	#{ITEM_2000_001}	1	1	2	200098	0647cfeeaa213c0a3c5066b0
1	202032001	#{ITEM_2000_002}	1	13	2	200098	0647cfeeaa213c0a3c5066b1
2	105032001	#{ITEM_2000_003}	1	15	5	200098	0647cfeeaa213c0a3c5066b2
3	205032001	#{ITEM_2000_004}	1	5	5	200098	0647cfeeaa213c0a3c5066b3
4	305032001	#{ITEM_2000_005}	1	12	5	200098	0647cfeeaa213c0a3c5066b4
5	405032001	#{ITEM_2000_006}	1	21	5	200098	0647cfeeaa213c0a3c5066b5
6	505032001	#{ITEM_2000_007}	1	16	5	200098	0647cfeeaa213c0a3c5066b6
7	605032001	#{ITEM_2000_008}	1	18	5	200098	0647cfeeaa213c0a3c5066b7
8	705032001	#{ITEM_2000_009}	1	9	5	200098	0647cfeeaa213c0a3c5066b8
9	805032001	#{ITEM_2000_010}	1	23	5	200098	0647cfeeaa213c0a3c5066b9
10	108032001	#{ITEM_2000_011}	1	22	8	200098	0647cfeeaa213c0a3c5066b10
11	208032001	#{ITEM_2000_012}	1	20	8	200098	0647cfeeaa213c0a3c5066b11
12	110032001	#{ITEM_2000_013}	1	19	10	200098	0647cfeeaa213c0a3c5066b12
13	210032001	#{ITEM_2000_014}	1	24	10	200098	0647cfeeaa213c0a3c5066b13
14	310032001	#{ITEM_2000_015}	1	17	10	200098	0647cfeeaa213c0a3c5066b14
15	410032001	#{ITEM_2000_016}	1	10	10	200098	0647cfeeaa213c0a3c5066b15
16	510032001	#{ITEM_2000_017}	2	30000	10	200098	0647cfeeaa213c0a3c5066b16
17	610032001	#{ITEM_2000_018}	3	5000	10	200098	0647cfeeaa213c0a3c5066b17
18	710032001	#{ITEM_2000_019}	4	5000	10	200098	0647cfeeaa213c0a3c5066b18
19	810032001	#{ITEM_2000_020}	5	50	10	200098	0647cfeeaa213c0a3c5066b19
20	115032001	#{ITEM_2000_021}	1	25	15	200098	0647cfeeaa213c0a3c5066b20
21	215032001	#{ITEM_2000_022}	1	27	15	200098	0647cfeeaa213c0a3c5066b21
22	120032001	#{ITEM_2000_023}	1	28	20	200098	0647cfeeaa213c0a3c5066b22
23	220032001	#{ITEM_2000_024}	1	26	20	200098	0647cfeeaa213c0a3c5066b23
24	905032001	#{ITEM_2000_025}	6	50	5	200098	0647cfeeaa213c0a3c5066b24
25	910032001	#{ITEM_2000_026}	6	105	10	200098	0647cfeeaa213c0a3c5066b25
26	315032001	#{ITEM_2000_027}	6	160	15	200098	0647cfeeaa213c0a3c5066b26
27	320032001	#{ITEM_2000_028}	6	215	20	200098	0647cfeeaa213c0a3c5066b27
28	125032001	#{ITEM_2000_029}	6	275	25	200098	0647cfeeaa213c0a3c5066b28
29	130032001	#{ITEM_2000_030}	6	330	30	200098	0647cfeeaa213c0a3c5066b29
