INT	INT	INT	STRING	STRING
id	资源名字	面积	名字	描述
0	300	1	-1	-1
1	301	12	-1	-1
2	302	6	-1	-1
3	303	10	-1	-1
4	304	6	-1	-1
5	305	4	-1	-1
6	306	10	-1	-1
7	307	6	-1	-1
8	308	4	-1	-1
9	309	10	-1	-1
10	310	1	-1	-1
11	311	10	-1	-1
12	312	6	-1	-1
13	313	8	-1	-1
14	314	8	-1	-1
15	315	10	-1	-1
16	316	6	-1	-1
17	10	3	#{TXSS_1000_028}	#{TXSS_1000_009}
18	11	3	#{TXSS_1000_029}	#{TXSS_1000_010}
19	12	3	#{TXSS_1000_026}	#{TXSS_1000_007}
20	13	3	#{TXSS_1000_027}	#{TXSS_1000_008}
21	324	4	-1	-1
22	325	6	-1	-1
23	326	1	-1	-1
24	327	1	-1	-1
25	328	1	-1	-1
26	329	2	-1	-1
27	331	1	-1	-1
28	332	4	-1	-1
29	333	6	-1	-1
