INT	STRING
ID	攻击形状
0	Shape/hengsan.ini
1	Shape/hengwu.ini
2	Shape/danti.ini
3	Shape/zongsan.ini
4	Shape/danti.ini
5	Shape/zongsan.ini
6	Shape/hengsan.ini
7	Shape/danti.ini
8	Shape/hengsan.ini
9	Shape/zongsan.ini
10	Shape/zongsan.ini
11	Shape/juwu.ini
12	Shape/hengwu.ini
13	Shape/danti.ini
14	Shape/zongsan.ini
15	Shape/hengsan.ini
16	Shape/hengwu.ini
17	Shape/zongsan.ini
18	Shape/juwu.ini
19	Shape/sanwu.ini
20	Shape/danti.ini
21	Shape/danti.ini
22	Shape/hengsan.ini
23	Shape/hengsan.ini
24	Shape/juwu.ini
25	Shape/hengwu.ini
26	Shape/hengwu.ini
27	Shape/sanwu.ini
28	Shape/juwu.ini
29	Shape/zongsan.ini
30	Shape/hengwu.ini
31	Shape/sanwu.ini
32	Shape/juwu.ini
33	Shape/zongsan.ini
34	Shape/hengwu.ini
35	Shape/sanwu.ini
36	Shape/juwu.ini
37	Shape/zongsan.ini
38	Shape/hengwu.ini
39	Shape/sanwu.ini
40	Shape/juwu.ini
41	Shape/zongsan.ini
42	Shape/hengwu.ini
43	Shape/sanwu.ini
44	Shape/juwu.ini
45	Shape/zongsan.ini
46	Shape/hengwu.ini
47	Shape/sanwu.ini
48	Shape/juwu.ini
49	Shape/zongsan.ini
50	Shape/hengwu.ini
51	Shape/sanwu.ini
52	Shape/juwu.ini
53	Shape/zongsan.ini
54	Shape/hengwu.ini
55	Shape/sanwu.ini
56	Shape/juwu.ini
57	Shape/zongsan.ini
58	Shape/hengwu.ini
59	Shape/sanwu.ini
60	Shape/juwu.ini
61	Shape/zongsan.ini
62	Shape/hengwu.ini
63	Shape/sanwu.ini
64	Shape/juwu.ini
65	Shape/zongsan.ini
66	Shape/hengwu.ini
67	Shape/sanwu.ini
68	Shape/juwu.ini
69	Shape/zongsan.ini
70	Shape/hengwu.ini
71	Shape/sanwu.ini
72	Shape/juwu.ini
73	Shape/zongsan.ini
74	Shape/hengwu.ini
75	Shape/sanwu.ini
76	Shape/juwu.ini
77	Shape/zongsan.ini
78	Shape/hengwu.ini
79	Shape/sanwu.ini
80	Shape/juwu.ini
81	Shape/zongsan.ini
82	Shape/hengwu.ini
83	Shape/sanwu.ini
84	Shape/juwu.ini
85	Shape/zongsan.ini
86	Shape/hengwu.ini
87	Shape/sanwu.ini
88	Shape/juwu.ini
89	Shape/zongsan.ini
90	Shape/hengwu.ini
91	Shape/sanwu.ini
92	Shape/juwu.ini
93	Shape/zongsan.ini
94	Shape/hengwu.ini
95	Shape/sanwu.ini
96	Shape/juwu.ini
97	Shape/zongsan.ini
98	Shape/hengwu.ini
99	Shape/sanwu.ini
100	Shape/juwu.ini
101	Shape/zongsan.ini
102	Shape/hengwu.ini
103	Shape/sanwu.ini
104	Shape/juwu.ini
105	Shape/zongsan.ini
106	Shape/hengwu.ini
107	Shape/sanwu.ini
108	Shape/juwu.ini
109	Shape/zongsan.ini
110	Shape/hengwu.ini
111	Shape/sanwu.ini
112	Shape/juwu.ini
113	Shape/zongsan.ini
114	Shape/hengwu.ini
115	Shape/sanwu.ini
116	Shape/juwu.ini
117	Shape/zongsan.ini
118	Shape/hengwu.ini
119	Shape/sanwu.ini
120	Shape/juwu.ini
121	Shape/zongsan.ini
122	Shape/hengwu.ini
123	Shape/sanwu.ini
124	Shape/juwu.ini
125	Shape/zongsan.ini
126	Shape/hengwu.ini
127	Shape/sanwu.ini
128	Shape/juwu.ini
129	Shape/zongsan.ini
130	Shape/hengwu.ini
131	Shape/sanwu.ini
132	Shape/juwu.ini
133	Shape/zongsan.ini
134	Shape/hengwu.ini
135	Shape/sanwu.ini
136	Shape/juwu.ini
137	Shape/zongsan.ini
138	Shape/hengwu.ini
139	Shape/sanwu.ini
140	Shape/juwu.ini
141	Shape/zongsan.ini
142	Shape/hengwu.ini
143	Shape/sanwu.ini
144	Shape/juwu.ini
145	Shape/zongsan.ini
146	Shape/hengwu.ini
147	Shape/sanwu.ini
148	Shape/juwu.ini
149	Shape/zongsan.ini
150	Shape/hengwu.ini
151	Shape/sanwu.ini
152	Shape/juwu.ini
153	Shape/zongsan.ini
154	Shape/hengwu.ini
155	Shape/sanwu.ini
156	Shape/juwu.ini
157	Shape/zongsan.ini
158	Shape/hengwu.ini
159	Shape/sanwu.ini
160	Shape/juwu.ini
161	Shape/zongsan.ini
162	Shape/hengwu.ini
163	Shape/sanwu.ini
164	Shape/juwu.ini
165	Shape/zongsan.ini
166	Shape/hengwu.ini
167	Shape/sanwu.ini
168	Shape/juwu.ini
