INT	STRING	STRING
ID	KEY	Value
0	ZBJX_8901_01	准备就绪
1	SJWC_8901_01	建筑物已升级
2	TXSS_2000_001	缺少足够的军资，需要：
3	TXSS_2000_002	金钱不足，需要：
4	TXSS_2000_003	关于
5	TXSS_2000_004	游戏名：疯狂二战|开发商名：ROCK GAME|客服电话：021-56506888|客服邮箱：notmissboy@hotmail.com
6	TXSS_2000_005	木材不足，需要：
7	TXSS_2000_006	矿石不足，需要：
8	TXSS_2000_007	没有足够的军费
9	TXSS_2000_008	人口不足，请建造民居增加人口
10	TXSS_2000_009	已达到当前等级人口上限
11	TXSS_2000_010	军阶不足，请加油修炼
12	TXSS_2000_011	请完成相关任务
13	TXSS_2000_012	此建筑物不可重复建造
14	TXSS_2000_013	其他建筑物正在升级中，不便升级此建筑
15	TXSS_2000_014	建筑物生产中不可关闭
16	TXSS_2000_015	选择需要移动的单位
17	TXSS_2000_016	出售价格为
18	TXSS_2000_017	此建筑不可出售
19	TXSS_2000_018	不许执行此操作,否则将有人露宿街头
20	TXSS_2000_019	请开启已完成扩张的土地。
21	TXSS_2000_020	无法同时扩张2块土地
22	TXSS_2000_021	只能派遣
23	TXSS_2000_022	个单位
24	TXSS_2000_023	手下不足，无法战斗
25	TXSS_2000_024	可用军队不足，请立即生产
26	TXSS_2000_025	武器需要在
27	TXSS_2000_026	回合后才能使用
28	TXSS_2000_027	耗尽子弹
29	TXSS_2000_028	不符合参加这场战斗的条件
30	TXSS_2000_029	是否决定放弃本回合？
31	TXSS_2000_030	协助进行中，请耐心等待
32	TXSS_2000_031	级解锁了：
33	TXSS_2000_032	正在解压文件，请稍后
34	TXSS_2000_033	正在验证军资，请稍后
35	TXSS_2000_034	交易成功
36	TXSS_2000_035	交易失败
37	TXSS_2000_036	提示
38	TXSS_2000_037	当前参战军队数量
39	TXSS_2000_038	操作失败 请稍后再试
40	TXSS_2000_039	是否确定提升效率
41	TXSS_2000_040	正在检查军资更新，请稍后...
42	TXSS_2000_041	完成下载
43	TXSS_2000_042	发送内容不能为空！
