INT	STRING	STRING	STRING
id	窗口名字	配置信息	脚本
0	Login	Layout/Login.layout	Layout/Login.lua
1	Arrmy	Layout/Arrmy.layout	Layout/Arrmy.lua
2	BuildChoose	Layout/BuildChoose.layout	Layout/BuildChoose.lua
3	Move	Layout/Move.layout	Layout/Move.lua
4	MoveMenu	Layout/MoveMenu.layout	Layout/MoveMenu.lua
5	Shop	Layout/Shop.layout	Layout/Shop.lua
6	WareHouse	Layout/WareHouse.layout	Layout/WareHouse.lua
7	TaskDescribe	Layout/TaskDescribe.layout	Layout/TaskDescribe.lua
8	TaskCompleted	Layout/TaskCompleted.layout	Layout/TaskCompleted.lua
9	PVEFightFinish	Layout/PVEFightFinish.layout	Layout/PVEFightFinish.lua
10	TaskList	Layout/TaskList.layout	Layout/TaskList.lua
11	NPCDialog	Layout/NPCDialog.layout	Layout/NPCDialog.lua
12	Train	Layout/Train.layout	Layout/Train.lua
13	CommonTip	Layout/CommonTip.layout	Layout/CommonTip.lua
14	ChatAlert	Layout/ChatAlert.layout	Layout/ChatAlert.lua
15	MainChat	Layout/MainChat.layout	Layout/MainChat.lua
16	CombatProcess	Layout/CombatProcess.layout	Layout/CombatProcess.lua
17	Unitdetails	Layout/Unitdetails.layout	Layout/Unitdetails.lua
18	MainMenu	Layout/MainMenu.layout	Layout/MainMenu.lua
19	LoadingWidget	Layout/LoadingWidget.layout	Layout/LoadingWidget.lua
20	LevelUp	Layout/LevelUp.layout	Layout/LevelUp.lua
21	MainButton	Layout/MainButton.layout	Layout/MainButton.lua
22	Guide	Layout/Guide.layout	Layout/Guide.lua
23	Instance	Layout/Instance.layout	Layout/Instance.lua
24	Home	Layout/Home.layout	Layout/Home.lua
25	Produce	Layout/Produce.layout	Layout/Produce.lua
26	UserMainPanel	Layout/UserMainPanel.layout	Layout/UserMainPanel.lua
27	CostLack	Layout/CostLack.layout	Layout/CostLack.lua
28	Toast	Layout/Toast.layout	Layout/Toast.lua
29	Kill	Layout/Kill.layout	Layout/Kill.lua
30	Broadcast	Layout/Broadcast.layout	Layout/Broadcast.lua
31	HeavenLadderMatch	Layout/HeavenLadderMatch.layout	Layout/HeavenLadderMatch.lua
32	SceneSwitch	Layout/SceneSwitch.layout	Layout/SceneSwitch.lua
33	WorldPlayer	Layout/WorldPlayer.layout	Layout/WorldPlayer.lua
34	Settings	Layout/Settings.layout	Layout/Settings.lua
35	GuideNew	Layout/GuideNew.layout	Layout/GuideNew.lua
36	PVPFightFinish	Layout/PVPFightFinish.layout	Layout/PVPFightFinish.lua
37	ChooseCharacter	Layout/ChooseCharacter.layout	Layout/ChooseCharacter.lua
38	LoginRegister	Layout/LoginRegister.layout	Layout/LoginRegister.lua
39	OperaShow	Layout/OperaShow.layout	Layout/OperaShow.lua
40	Help	Layout/Help.layout	Layout/Help.lua
41	System	Layout/System.layout	Layout/System.lua
42	OpeningBattleShow	Layout/OpeningBattleShow.layout	Layout/OpeningBattleShow.lua
43	Guess	Layout/Guess.layout	Layout/Guess.lua
