INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING
ID	生产类型	生产物名字	花费金币	花费时间（秒）	增加金币	增加经验	对应图标	HEAD_ID	特效ID	生产作物描述
0	1	#{NAME_3000_001}	1000	10800000	12500	1000	100	17	5	#{UI_2000_001}
1	1	#{NAME_3000_002}	2000	14400000	18000	2000	101	18	5	#{UI_2000_002}
2	1	#{NAME_3000_003}	3000	18000000	20000	3000	102	19	5	#{UI_2000_003}
3	1	#{NAME_3000_004}	4000	21600000	25000	4000	103	20	5	#{UI_2000_004}
4	1	#{NAME_3000_005}	5000	25200000	30000	5000	104	21	5	#{UI_2000_005}
5	2	#{NAME_3000_006}	1	6000	10	50	105	7	5	#{UI_2000_006}
6	2	#{NAME_3000_007}	10	300000	100	500	106	8	5	#{UI_2000_040}
7	2	#{NAME_3000_008}	100	1800000	1000	600	107	9	5	#{UI_2000_041}
8	2	#{NAME_3000_009}	300	3600000	3000	700	108	10	5	#{UI_2000_042}
9	2	#{NAME_3000_010}	500	7200000	7000	800	109	11	5	#{UI_2000_043}
10	3	#{NAME_3000_011}	10000	3600000	15000	1000	110	12	5	#{UI_2000_007}
11	3	#{NAME_3000_012}	30000	3600000	45000	1000	111	13	5	#{UI_2000_008}
12	3	#{NAME_3000_013}	50000	3600000	100000	1000	112	14	5	#{UI_2000_009}
13	3	#{NAME_3000_014}	80000	3600000	160000	1000	113	15	5	#{UI_2000_010}
14	3	#{NAME_3000_015}	100000	3600000	200000	1000	114	16	5	#{UI_2000_011}
